campaign fb,filename,persoanl fb,id
['https://www.facebook.com/Kahn4Congress/'],Kevin_Kahn.csv,https://www.facebook.com/kevin.kahn.1272,kevin.kahn.1272
['https://www.facebook.com/Barajas2022'],Ricardo_Barajas.csv,https://www.facebook.com/ricky.barajas.56,ricky.barajas.56
[],Trey_Gowdy.csv,https://www.facebook.com/gowdyforcongress,gowdyforcongress
['https://www.facebook.com/urbinafor2022/'],Angel_Urbina.csv,https://www.facebook.com/asurbina,asurbina
['https://www.facebook.com/dustinrobertsforcongress'],Dustin_Roberts.csv,https://www.facebook.com/dustin.roberts.5,dustin.roberts.5
['https://www.facebook.com/profile.php?id=100075880690678'],Marvin_Boguslawski.csv,https://www.facebook.com/marvin.boguslawski,marvin.boguslawski
['https://www.facebook.com/timkaine/'],Timothy_Kaine.csv,https://www.facebook.com/timkaine,timkaine
['https://www.facebook.com/FrankPallottaNJ/'],Frank_Pallotta.csv,https://www.facebook.com/frank.pallotta,frank.pallotta
[],Kerry_Bentivolio.csv,https://www.facebook.com/profile.php?id=100004403986580,100004403986580
['https://www.facebook.com/BobbyPiton4Senate'],Robert_Piton.csv,https://www.facebook.com/rcpiton,rcpiton
['https://www.facebook.com/MikeFranceforCongress'],Mike_France.csv,https://www.facebook.com/mike.france.14,mike.france.14
['https://www.facebook.com/valarkooshpa/'],Valerie_Arkoosh.csv,https://www.facebook.com/valerie.arkoosh,valerie.arkoosh
[],Kaylee_Peterson.csv,https://www.facebook.com/kaylee.j.peterson,kaylee.j.peterson
[],Jayesun_Sherman.csv,https://www.facebook.com/jayesun.sherman,jayesun.sherman
['https://www.facebook.com/pearcefornm/'],Steve_Pearce.csv,https://www.facebook.com/peopleforpearce,peopleforpearce
"['https://www.facebook.com/Christine4Congress/', 'https://www.facebook.com/Christine4Congress']",Christine_Mann.csv,https://www.facebook.com/christine.mann.750,christine.mann.750
['https://www.facebook.com/MikieSherrillForCongress/'],Mikie_Sherrill.csv,https://www.facebook.com/mikie.sherrill.54,mikie.sherrill.54
['https://www.facebook.com/louvellucciindependentforcongress/'],Louis_Vellucci.csv,https://www.facebook.com/profile.php?id=100001289779683,100001289779683
